municipio;rebanho
      Palmeiras;3000
      Paramirim;9013
      Paratinga;30340
      Paripiranga;19318
      Pau Brasil;29244
      Paulo Afonso;11967
      Pé de Serra;25525
      Pedrão;6185
      Pedro Alexandre;29526
      Piatã;3996
      Pilão Arcado;10032
      Pindaí;24989
      Pindobaçu;9378
      Pintadas;24034
      Piraí do Norte;1809
      Piripá;7934
      Piritiba;27838
      Planaltino;13748
      Planalto;28971
      Poções;25957
      Pojuca;6663
      Ponto Novo;7775
      Porto Seguro;40573
      Potiraguá;62981
      Prado;77997
      Presidente Dutra;3267
      Presidente Jânio Quadros;16138
      Presidente Tancredo Neves;3886
      Queimadas;37786
      Quijingue;19025
      Quixabeira;6150
      Rafael Jambeiro;26470
      Remanso;19254
      Retirolândia;3612
      Riachão das Neves;97888
      Riachão do Jacuípe;37355
      Riacho de Santana;81802
      Ribeira do Amparo;12228
      Ribeira do Pombal;41544
      Ribeirão do Largo;58963
      Rio de Contas;4849
      Rio do Antônio;13333
      Rio do Pires;10412
      Rio Real;32912
      Rodelas;503
      Ruy Barbosa;37479
      Salinas da Margarida;300
      Salvador;95
      Santa Bárbara;10820
      Santa Brígida;15469
      Santa Cruz Cabrália;13358
      Santa Cruz da Vitória;28902
      Santa Inês;3009
      Santa Luzia;7865
      Santa Maria da Vitória;77705
      Santa Rita de Cássia;70202
      Santa Terezinha;5370
      Santaluz;26209
      Santana;107081
      Santanópolis;6306
      Santo Amaro;15357
      Santo Antônio de Jesus;15172
      Santo Estêvão;8809
      São Desidério;62793
      São Domingos;5964
      São Felipe;9937
      São Félix;3804
      São Félix do Coribe;54100
      São Francisco do Conde;6537
      São Gabriel;5537
      São Gonçalo dos Campos;11310
      São José da Vitória;2886
      São José do Jacuípe;11602
      São Miguel das Matas;8689
      São Sebastião do Passé;30657
      Sapeaçu;5279
      Sátiro Dias;12537
      Saubara;282
      Saúde;7410
      Seabra;10064
      Sebastião Laranjeiras;31184
      Senhor do Bonfim;14582
      Sento Sé;18806
      Serra do Ramalho;78735
      Serra Dourada;81605
      Serra Preta;27145
      Serrinha;15671
      Serrolândia;8778
      Simões Filho;904
      Sítio do Mato;45469
      Sítio do Quinto;18617
      Sobradinho;3732
      Souto Soares;2494
      Tabocas do Brejo Velho;34281
      Tanhaçu;26956
      Tanque Novo;7339
      Tanquinho;6697
      Taperoá;458
      Tapiramutá;19805
      Teixeira de Freitas;79305
      Teodoro Sampaio;11316
      Teofilândia;10100
      Teolândia;1416
      Terra Nova;17394
      Tremedal;30821
      Tucano;28596
      Uauá;2477
      Ubaíra;16990
      Ubaitaba;4024
      Ubatã;2080
      Uibaí;2941
      Umburanas;5844
      Una;4240
      Urandi;21266
      Uruçuca;2449
      Utinga;17409
      Valença;3700
      Valente;5141
      Várzea da Roça;12830
      Várzea do Poço;7586
      Várzea Nova;7057
      Varzedo;10501
      Vera Cruz;148
      Vereda;62699
      Vitória da Conquista;109624
      Wagner;1973
      Wanderley;93320
      Wenceslau Guimarães;5630
      Xique-Xique;21983
    Catu;92926
    Jeremoabo;127614
