codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2205151;Jacobina do Piau√≠;10.918;Jacobina do PiauÌ;10810
2205201;Jaic√≥s;4.195;JaicÛs;4159
2205250;Jardim do Mulato;3.362;Jardim do Mulato;3311
2205276;Jatob√° do Piau√≠;7.416;Jatob· do PiauÌ;7470
2205300;Jerumenha;6.757;Jerumenha;6914
2205359;Jo√£o Costa;3.509;Jo„o Costa;3686
2205409;Joaquim Pires;11.402;Joaquim Pires;11344
2205458;Joca Marques;4.594;Joca Marques;4703
2205508;Jos√© de Freitas;14.443;JosÈ de Freitas;14402
2205516;Juazeiro do Piau√≠;4.184;Juazeiro do PiauÌ;4194
2205524;J√∫lio Borges;11.912;J˙lio Borges;12159
2205532;Jurema;2.619;Jurema;2541
2205557;Lagoa Alegre;1.85;Lagoa Alegre;1852
2205573;Lagoa de S√£o Francisco;1.187;Lagoa de S„o Francisco;1214
2205565;Lagoa do Barro do Piau√≠;3.53;Lagoa do Barro do PiauÌ;3605
2205581;Lagoa do Piau√≠;3.076;Lagoa do PiauÌ;3057
2205599;Lagoa do S√≠tio;3.86;Lagoa do SÌtio;3714
2205540;Lagoinha do Piau√≠;1.33;Lagoinha do PiauÌ;1444
2205607;Landri Sales;7.566;Landri Sales;7790
2205706;Lu√≠s Correia;8.959;LuÌs Correia;8975
2205805;Luzil√¢ndia;8.088;Luzil‚ndia;7967
2205854;Madeiro;4.341;Madeiro;4250
2205904;Manoel Em√≠dio;8.013;Manoel EmÌdio;7701
2205953;Marcol√¢ndia;723;Marcol‚ndia;729
2206001;Marcos Parente;5.726;Marcos Parente;5572
2206050;Massap√™ do Piau√≠;2.836;MassapÍ do PiauÌ;2811
2206100;Matias Ol√≠mpio;2.299;Matias OlÌmpio;2261
2206209;Miguel Alves;7.384;Miguel Alves;7328
2206308;Miguel Le√£o;203;Miguel Le„o;210
2206357;Milton Brand√£o;3.605;Milton Brand„o;3692
2206407;Monsenhor Gil;2.723;Monsenhor Gil;2738
2206506;Monsenhor Hip√≥lito;5.529;Monsenhor HipÛlito;5429
2206605;Monte Alegre do Piau√≠;24.805;Monte Alegre do PiauÌ;24164
2206654;Morro Cabe√ßa no Tempo;6.159;Morro CabeÁa no Tempo;6559
2206670;Morro do Chap√©u do Piau√≠;4.167;Morro do ChapÈu do PiauÌ;4238
2206696;Murici dos Portelas;3.994;Murici dos Portelas;4816
2206704;Nazar√© do Piau√≠;6.73;NazarÈ do PiauÌ;6857
2206720;Naz√°ria;4.06;Naz·ria;4245
2206753;Nossa Senhora de Nazar√©;3.844;Nossa Senhora de NazarÈ;3774
2206803;Nossa Senhora dos Rem√©dios;4.105;Nossa Senhora dos RemÈdios;4033
2207959;Nova Santa Rita;5.805;Nova Santa Rita;5928
2206902;Novo Oriente do Piau√≠;7.201;Novo Oriente do PiauÌ;7102
2206951;Novo Santo Ant√¥nio;4.398;Novo Santo AntÙnio;4337
2207009;Oeiras;13.568;Oeiras;13850
2207108;Olho d`√Ågua do Piau√≠;2.801;Olho d'¡gua do PiauÌ;3585
2207207;Padre Marcos;2.34;Padre Marcos;2389
2207306;Paes Landim;3.624;Paes Landim;3701
2207355;Paje√∫ do Piau√≠;5.106;Paje˙ do PiauÌ;5029
2207405;Palmeira do Piau√≠;7.54;Palmeira do PiauÌ;7415
2207504;Palmeirais;5.985;Palmeirais;6258
2207553;Paquet√°;2.419;Paquet·;2471
2207603;Parnagu√°;44.989;Parnagu·;41551
2207702;Parna√≠ba;6.201;ParnaÌba;6088
2207751;Passagem Franca do Piau√≠;4.509;Passagem Franca do PiauÌ;4436
2207777;Patos do Piau√≠;5.313;Patos do PiauÌ;4906
2207793;Pau d`Arco do Piau√≠;1.91;Pau d'Arco do PiauÌ;1873
2207801;Paulistana;9.591;Paulistana;9398
2207850;Pavussu;2.306;Pavussu;2309
2207900;Pedro II;5.829;Pedro II;5910
2207934;Pedro Laurentino;5.143;Pedro Laurentino;5253
2208007;Picos;9.051;Picos;10035
2208106;Pimenteiras;15.167;Pimenteiras;14450
2208205;Pio IX;7.348;Pio IX;7359
2208304;Piracuruca;13.754;Piracuruca;14194
2208403;Piripiri;11.185;Piripiri;11965
2208502;Porto;3.003;Porto;3003
2208551;Porto Alegre do Piau√≠;6.388;Porto Alegre do PiauÌ;6128
2208601;Prata do Piau√≠;1.317;Prata do PiauÌ;1289
2208650;Queimada Nova;5.639;Queimada Nova;5537
2208700;Reden√ß√£o do Gurgu√©ia;12.423;RedenÁ„o do GurguÈia;12185
2208809;Regenera√ß√£o;3.606;RegeneraÁ„o;5264
2208858;Riacho Frio;15.174;Riacho Frio;15489
2208874;Ribeira do Piau√≠;6.539;Ribeira do PiauÌ;6674
2208908;Ribeiro Gon√ßalves;9.278;Ribeiro GonÁalves;9361
2209005;Rio Grande do Piau√≠;5.499;Rio Grande do PiauÌ;5501
2209104;Santa Cruz do Piau√≠;5.627;Santa Cruz do PiauÌ;5755
2209153;Santa Cruz dos Milagres;19.214;Santa Cruz dos Milagres;19145
2209203;Santa Filomena;14.381;Santa Filomena;14680
2209302;Santa Luz;14.231;Santa Luz;13862
