codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2106201;Lu√≠s Domingues;5.61;LuÌs Domingues;4320
2106300;Magalh√£es de Almeida;6.286;Magalh„es de Almeida;7795
2106326;Maraca√ßum√©;22.528;MaracaÁumÈ;31945
2106359;Maraj√° do Sena;24.058;Maraj· do Sena;43446
2106375;Maranh√£ozinho;28.508;Maranh„ozinho;37123
2106409;Mata Roma;1.219;Mata Roma;2050
2106508;Matinha;17.77;Matinha;18769
2106607;Mat√µes;12.49;Matıes;15084
2106631;Mat√µes do Norte;12.333;Matıes do Norte;17348
2106672;Milagres do Maranh√£o;5.046;Milagres do Maranh„o;3150
2106706;Mirador;26.833;Mirador;47350
2106755;Miranda do Norte;9.975;Miranda do Norte;23582
2106805;Mirinzal;1.499;Mirinzal;2465
2106904;Mon√ß√£o;24.702;MonÁ„o;45138
2107001;Montes Altos;28.838;Montes Altos;47627
2107100;Morros;692;Morros;1296
2107209;Nina Rodrigues;982;Nina Rodrigues;2051
2107258;Nova Colinas;21.537;Nova Colinas;41693
2107308;Nova Iorque;5.94;Nova Iorque;9735
2107357;Nova Olinda do Maranh√£o;27.232;Nova Olinda do Maranh„o;35379
2107407;Olho d`√Ågua das Cunh√£s;54.575;Olho d'¡gua das Cunh„s;70654
2107456;Olinda Nova do Maranh√£o;4.976;Olinda Nova do Maranh„o;6592
2107506;Pa√ßo do Lumiar;571;PaÁo do Lumiar;664
2107605;Palmeir√¢ndia;6.219;Palmeir‚ndia;4838
2107704;Paraibano;10.917;Paraibano;23377
2107803;Parnarama;50.04;Parnarama;69101
2107902;Passagem Franca;17.653;Passagem Franca;36273
2108009;Pastos Bons;19.41;Pastos Bons;28675
2108058;Paulino Neves;2.742;Paulino Neves;3218
2108108;Paulo Ramos;54.395;Paulo Ramos;52514
2108207;Pedreiras;5.654;Pedreiras;19327
2108256;Pedro do Ros√°rio;52.102;Pedro do Ros·rio;22717
2108306;Penalva;21.553;Penalva;13294
2108405;Peri Mirim;2.845;Peri Mirim;3828
2108454;Peritor√≥;13.758;PeritorÛ;34630
2108504;Pindar√©-Mirim;8.739;PindarÈ-Mirim;14586
2108603;Pinheiro;14.522;Pinheiro;32419
2108702;Pio XII;22.888;Pio XII;35737
2108801;Pirapemas;7.108;Pirapemas;13442
2108900;Po√ß√£o de Pedras;39.628;PoÁ„o de Pedras;55193
2109007;Porto Franco;82.949;Porto Franco;554440
2109007;Porto Franco;82.949;Porto Franco;96275
